Date,Close,Open,High,Low,Volume,log_return
3/22/2013,33506.88,33361.9,33601.57,33350.72,,0.004334462
3/25/2013,33467.78,33506.88,33621.61,33415.53,,-0.001167606
3/26/2013,33429.46,33467.87,33580.53,33395.46,,-0.001145638
3/27/2013,33468.89,33429.46,33506.88,33361.96,,0.001178804
3/28/2013,33536.25,33458.14,33603.29,33137.46,,0.002010593
4/2/2013,34351.87,33540.82,34444.31,33489.04,,0.024029513
4/3/2013,34548.73,34351.87,34875.5,34227.49,,0.005714334
4/4/2013,34339.65,34585.06,34764.09,34326.92,,-0.006070128
4/5/2013,34301.37,34353.85,34364.68,34232.42,,-0.001115368
4/8/2013,34810.25,34295.48,34828.07,34292.6,,0.014726589
4/9/2013,34089.01,34810.25,34859.2,34065.68,,-0.020936839
4/10/2013,33665.58,34060.46,34089.01,33266.12,,-0.012499095
4/11/2013,33466.76,33642.84,33776.88,33552.18,,-0.005923243
4/12/2013,33514.14,33532.26,33546.76,33433.82,,0.001414732
4/15/2013,33532.89,33514.14,33706.12,33388.22,,0.000559309
4/16/2013,33334.27,33551.96,33610.54,33322.31,,-0.005940751
4/17/2013,33352.97,33334.67,33714.15,33334.67,,0.000560827
4/18/2013,33334.67,33350.71,33363.34,32840.54,,-0.000548827
4/19/2013,32993.97,32885.58,33041.8,32885.58,,-0.010273179
4/22/2013,33090.05,32993.97,33190.15,32963.69,,0.002907815
4/23/2013,33090.18,33069.59,33124.19,33042.06,,3.93E-06
4/24/2013,33432.68,33086.29,33612.4,33086.29,,0.010297303
4/25/2013,33271.34,33432.62,33550.44,33095.26,,-0.004837499
4/26/2013,33159.08,33018.82,33295.48,32932.18,,-0.00337978
4/29/2013,33030.83,33159.08,33345.05,32921.8,,-0.003875218
4/30/2013,33440.57,33359.23,33483.23,33021.48,,0.012328466
5/2/2013,34502.38,33440.57,34528.52,33417.12,,0.031258474
5/3/2013,35109.33,34502.16,35116.35,34501.5,,0.0174386
5/6/2013,34935.62,35099.15,35232.38,35099.15,,-0.004959968
5/7/2013,34815.24,34935.14,34992.79,34350.7,,-0.003451717
5/8/2013,35486.44,34815.24,35496.14,34774.35,,0.01909543
5/9/2013,35782.09,35486.91,35812.07,35456.51,,0.008296837
5/10/2013,36010.28,35782.6,36010.24,35710.42,,0.006356964
5/13/2013,35956.05,36010.24,36162.05,35861.49,,-0.001507094
5/14/2013,35994.67,35956.46,36007.32,35846.75,,0.001073513
5/15/2013,36236.49,35994.87,36236.29,35957.23,,0.00669575
5/16/2013,36400.16,36236.7,36405.18,36236.49,,0.004506548
5/17/2013,36907.81,36400.43,36927.69,36378.44,,0.013850012
5/20/2013,36817.75,36908.12,37116.48,36721.23,,-0.002443116
5/21/2013,37046.63,36818.09,37212.34,36650.51,,0.006197324
5/22/2013,37259.91,37046.63,37471.61,36985.14,,0.00574056
5/23/2013,36472.43,37332.06,37466.5,36514.65,,-0.021361317
5/24/2013,37350.53,36472.87,36472.43,36472.43,,0.023790469
5/27/2013,37386.36,37350.97,37518.44,37320.28,,0.00095883
5/28/2013,38016.8,37386.3,37392.89,37282.8,,0.016722235
5/30/2013,38016.8,37358.74,38040.06,37358.74,,0
5/31/2013,37794.75,38018.93,38018.93,37628.26,,-0.005857963
6/3/2013,37822.99,37790.64,37893.41,37720.38,,0.000746915
6/4/2013,38486.08,37822.99,38509.24,37818.07,,0.017379499
6/5/2013,39453.23,38486.08,39456.87,38463.77,,0.024819302
6/6/2013,39510.11,39453.64,40716.06,39369.05,,0.001440669
6/7/2013,39564.79,39510.3,40364.73,39475.67,,0.001382993
6/10/2013,39737.8,39565.28,39964.57,38028.13,,0.004363294
6/11/2013,40012.66,39737.8,40165.02,39702.09,,0.006893028
6/12/2013,38915.54,40013.2,40743.59,38737.86,,-0.027802247
6/13/2013,37406.73,38915.54,38915.54,36112.92,,-0.039543022
6/14/2013,37249.93,37406.64,37563.39,36726.85,,-0.004200569
6/17/2013,37085.12,37249.93,37272.49,37055.06,,-0.004434255
6/18/2013,37024.72,37085.12,37293.29,36953.23,,-0.001630013
6/19/2013,37135.74,37024.72,37135.36,36698.84,,0.002994051
6/20/2013,36963.77,37135.74,37314.11,36890.3,,-0.004641604
6/21/2013,36464.39,36963.77,36973.93,36441.6,,-0.013602076
6/24/2013,36464.35,36467.1,36464.39,36464.39,,-1.10E-06
